Water level predictions and measurements
from NOAA gage 8728690 (Apalachicola, 
Florida) for a three-week period surrounding
Hurricane Michael in October 2018. The
timestamps are formatted as YYYYMMDDhhmm in
Greenwich Mean Time. WL_predict_m are the
harmonic tide predictions in meters relative
to NAVD88. WL_measured_m are the water level
measurements in meters relative to NAVD88.
*
TimeGMT WL_predict_m WL_measured_m
201810041854 0.145 0.301
201810041900 0.137 0.294
201810041906 0.130 0.287
201810041912 0.122 0.279
201810041918 0.114 0.268
201810041924 0.107 0.260
201810041930 0.099 0.250
201810041936 0.091 0.241
201810041942 0.083 0.230
201810041948 0.075 0.217
201810041954 0.067 0.208
201810042000 0.059 0.198
201810042006 0.051 0.188
201810042012 0.043 0.180
201810042018 0.035 0.170
201810042024 0.027 0.159
201810042030 0.019 0.146
201810042036 0.012 0.137
201810042042 0.004 0.128
201810042048 -0.004 0.117
201810042054 -0.011 0.106
201810042100 -0.019 0.098
201810042106 -0.026 0.090
201810042112 -0.034 0.083
201810042118 -0.041 0.078
201810042124 -0.048 0.066
201810042130 -0.055 0.062
201810042136 -0.062 0.054
201810042142 -0.069 0.047
201810042148 -0.075 0.042
201810042154 -0.082 0.034
201810042200 -0.088 0.023
201810042206 -0.094 0.014
201810042212 -0.100 0.009
201810042218 -0.106 0.000
201810042224 -0.111 -0.007
201810042230 -0.116 -0.013
201810042236 -0.121 -0.020
201810042242 -0.126 -0.027
201810042248 -0.131 -0.033
201810042254 -0.135 -0.039
201810042300 -0.139 -0.043
201810042306 -0.143 -0.048
201810042312 -0.146 -0.056
201810042318 -0.149 -0.060
201810042324 -0.151 -0.063
201810042330 -0.154 -0.059
201810042336 -0.155 -0.057
201810042342 -0.157 -0.061
201810042348 -0.158 -0.061
201810042354 -0.158 -0.062
201810050000 -0.158 -0.060
201810050006 -0.158 -0.054
201810050012 -0.156 -0.051
201810050018 -0.155 -0.049
201810050024 -0.153 -0.047
201810050030 -0.150 -0.043
201810050036 -0.147 -0.036
201810050042 -0.144 -0.031
201810050048 -0.139 -0.025
201810050054 -0.135 -0.018
201810050100 -0.129 -0.012
201810050106 -0.124 -0.006
201810050112 -0.117 0.001
201810050118 -0.111 0.011
201810050124 -0.103 0.023
201810050130 -0.096 0.032
